"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","ic","Q1","att_1","att_2","comp_1","comp_2","auto_1","auto_1_ad","ad_1","resp_software1_10","resp_human1_10","liable_firm1_1","liable_human1_1","liab_text1","comp_3","co_1","co_1_ad","ad_2","resp_software2_10","resp_human2_10","liab_firm2_1","liab_human2_1","liab_text2","comp_4","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","education","education_8_TEXT","license","ai_knowledge_1","PROLIFIC_PID"
"Start Date","End Date","Response Type","Anonymized","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Anonymized","Anonymized","Distribution Channel","User Language","Informed Consent 



Participation is voluntary

It is your choice whether or not to participate in this research. If you choose to participate, you may change your mind and leave the study at any time. Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.



What is the purpose of this research? 

The purpose of this research is to examine human judgments about automated vehicles. All data from this experiment are gathered for scientific purposes and will contribute to our eventual understanding of brain and visual function. These data may be published in scientific journals so that other researchers may have access to these data.



How long will I take part in this research? 

Your participation will take approximately 5-10 minutes to complete.



What can I expect if I take part in this research? 

As a participant, you will be asked to look at images presented on a video display and give responses with key presses or movements of a mouse pointing device. Your response may involve responding as quickly as you can, memorizing what you saw, making a judgment, or completing a questionnaire. You will also be asked to complete a demographics form.



What are the risks and possible discomforts? 

If you choose to participate, the effects should be comparable to those you would experience from viewing a computer monitor for 15 minutes and using a mouse or keyboard, e.g., eye fatigue. You are free to take breaks throughout the session. 



Will I be compensated for participating in this research? 

You will be compensated $1.00 for this study. You will still receive payment if you withdraw early.



If I take part in this research, how will my privacy be protected? What happens to the information you collect? 

Your participation in this experiment will remain confidential, and your identity will not be stored with your data.



If I have any questions, concerns or complaints about this research study, who can I talk to? 

The researcher for this study is Julian De Freitas who can be reached at 626.559.6401; #161 Morgan Hall, 15 Harvard Way, Boston MA, 02163; jdefreitas@hbs.edu. If you have questions, concerns, or complaints,

	If you would like to talk to the research team,
	If you think the research has harmed you, or
	If you wish to withdraw from the study.

This research has been reviewed by the Committee on the Use of Human Subjects in Research at Harvard University. They can be reached at 617-496-2847, 1350 Massachusetts Avenue, Suite 935, Cambridge, MA 02138, or cuhs@harvard.edu for any of the following:


	If your questions, concerns, or complaints are not being answered by the research team,
	If you cannot reach the research team,
	If you want to talk to someone besides the research team, or
	If you have questions about your rights as a research participant.","What is your Prolific ID?

Please note that this response should auto-fill with the correct ID.","This is an attention check. 

John is taller than Paul. Who is shorter?","What color is grass? The fresh, uncut grass, not leaves or hay. 

Please make sure to select purple, so that we know you're paying attention.","You were shown a table. What did the table represent?","What were the values for vehicle type #1 (the one at the top of the table)?","What do you perceive as the level of automation for AEON's AUTOPILOT Program?","What do you perceive as the level of automation for AEON's AUTOPILOT Program?","What is the claim made by AEON in the advertisement above?","Aeon's Autopilot is responsible for the accident.","The human in the car is responsible for the accident.","Aeon, the company, is liable for the damages from the accident.","The human in the car is liable for the damages from the accident.","In a sentence or two, please explain why you think either Aeon, the company, or the human driver is more liable for the accident?","Based on the accident scenario with the Autopilot described to you a few moments ago, please choose one of the following multiple choice answers that seems correct to you.","What do you perceive as the level of automation for AEON's COPILOT Program?","What do you perceive as the level of automation for AEON's COPILOT Program?","What is the claim made by AEON in the advertisement above?","Aeon's Copilot is responsible for the accident.","The human in the car is responsible for the accident.","Aeon, the company, is liable for the damages from the accident.","The human in the car is liable for the damages from the accident.","In a sentence or two, please explain why you think either Aeon, the company, or the human driver is more liable for the accident?","Based on the accident scenario with the Copilot system described to you a few moments ago, please choose one of the following multiple choice answers that seems correct to you.","What is your gender? - Selected Choice","What is your gender? - Other (please specify) - Text","What is your ethnicity? - Selected Choice","What is your ethnicity? - Other (please specify) - Text","What is your age (in years)?","Please indicate the highest level of education completed. - Selected Choice","Please indicate the highest level of education completed. - Other (please specify) - Text","Do you have a driving license?","How much would you say you know about automated cars?","PROLIFIC_PID"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","Anonymized","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","Anonymized","Anonymized","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1716669947_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9""}","{""ImportId"":""QID143""}","{""ImportId"":""QID148""}","{""ImportId"":""QID113_10""}","{""ImportId"":""QID123_10""}","{""ImportId"":""QID121_1""}","{""ImportId"":""QID124_1""}","{""ImportId"":""QID129_TEXT""}","{""ImportId"":""QID131""}","{""ImportId"":""QID10""}","{""ImportId"":""QID150""}","{""ImportId"":""QID155""}","{""ImportId"":""QID118_10""}","{""ImportId"":""QID126_10""}","{""ImportId"":""QID122_1""}","{""ImportId"":""QID127_1""}","{""ImportId"":""QID130_TEXT""}","{""ImportId"":""QID132""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_4_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_6_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_8_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27_1""}","{""ImportId"":""PROLIFIC_PID""}"
"2023-10-20 12:42:57","2023-10-20 12:48:39","0","Anonymized","100","342","1","2023-10-20 12:48:41","R_3lMPGMpdpB1XFgG","","","","","Anonymized","Anonymized","anonymous","EN","1","614f0acd7fae587a7d5bce68","2","2","2","4","","","","","","","","","","","4","1","25","75","60","40","I think Aeon should be more liable for the damages since the whole point of buying it is to prevent these kinds of accidents. ","1","2","","3","","64","4","","1","10","614f0acd7fae587a7d5bce68"
"2023-10-20 12:52:44","2023-10-20 12:56:49","0","Anonymized","100","244","1","2023-10-20 12:56:49","R_32RttGPuJm8O83U","","","","","Anonymized","Anonymized","anonymous","EN","1","6040558e6700552508a8f9b5","2","2","2","4","4","","","63","92","80","85","In terms of liability, the human in the car is ultimately responsible for the safety of the vehicle and ensuring the safety of others on the road. They are the failsafe in the event that the car fails to perform.","2","","","","","","","","","","1","","3","","37","3","","1","73","6040558e6700552508a8f9b5"
"2023-10-20 13:03:58","2023-10-20 13:06:31","0","Anonymized","100","152","1","2023-10-20 13:06:32","R_2zJ78p7wyLNyZRE","","","","","Anonymized","Anonymized","anonymous","EN","1","5eb5ca74d0301111772ba35e","2","1","2","4","6","","","100","10","100","10","If the autopilot software is the one making the decisions while driving, they must be responsible for any damage caused because the human is not driving. If it is a scenario where Aeon is only assisting the driver and not fully self-driving, then the human would share more liability.","2","","","","","","","","","","1","","3","","26","4","","1","65","5eb5ca74d0301111772ba35e"
"2023-10-20 13:09:17","2023-10-20 13:15:05","0","Anonymized","100","347","1","2023-10-20 13:15:06","R_ZfTXA11qaYs6oHD","","","","","Anonymized","Anonymized","anonymous","EN","1","6155db00c1ddd261574dce05","2","2","2","4","","","","","","","","","","","4","1","50","80","80","82","I think the human is most responsible, though the company should face blame for promising something that it clearly did not do. But if you’re behind the wheel of a car, you’re responsible.","1","1","","3","","54","4","","1","30","6155db00c1ddd261574dce05"
"2023-10-20 13:11:18","2023-10-20 13:15:08","0","Anonymized","100","230","1","2023-10-20 13:15:09","R_2e8cToorbnMvqAH","","","","","Anonymized","Anonymized","anonymous","EN","1","650c6d9bdfb2c4ad09bff5ff","2","2","2","4","","","","","","","","","","4","","","60","75","50","75","Although the company may accept some responsibility, especially if noticing a stop sign is within its advertised features, the human driver is more at fault because at present, the onus of obeying traffic laws still falls on the human. Additionally, causing an accident by checking a text message seems like a very easy case of the driver being at fault.","1","1","","2","","35","3","","1","20","650c6d9bdfb2c4ad09bff5ff"
"2023-10-20 13:09:49","2023-10-20 13:15:52","0","Anonymized","100","363","1","2023-10-20 13:15:53","R_3JJXh1tD5TkJLmB","","","","","Anonymized","Anonymized","anonymous","EN","1","5d0e88a255f0c70015345bdd","2","2","1","4","6","","","65","64","51","27","If the car was on autopilot, it should have seen the Stop sign.","2","","","","","","","","","","2","","3","","61","4","","1","3","5d0e88a255f0c70015345bdd"
"2023-10-20 13:15:08","2023-10-20 13:24:32","0","Anonymized","100","564","1","2023-10-20 13:24:33","R_1dmnkhrd40byduQ","","","","","Anonymized","Anonymized","anonymous","EN","1","63d1dfc12952d4f6792d433d","2","2","2","4","","6","1","100","1","100","0","The human driver was full aware the Aeon claimed they had 92% fewer collisions and human relied upon that claim. ","2","","","","","","","","","","2","","3","","67","1","","1","1","63d1dfc12952d4f6792d433d"
"2023-10-20 13:38:07","2023-10-20 13:39:56","0","Anonymized","100","108","1","2023-10-20 13:39:57","R_DCV9IZuwfjkaQql","","","","","Anonymized","Anonymized","anonymous","EN","1","60fcce101117fe454e42be6b","2","2","2","4","","","","","","","","","","4","","","66","59","68","59","I think both are equally liable","1","2","","3","","21","3","","1","90","60fcce101117fe454e42be6b"
